,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mabaruma,8.2,-59.78,86.83,71,6,4.5,GY,1596989795
1,ushuaia,-54.8,-68.3,41.0,56,75,24.16,AR,1596989796
2,prata,-19.31,-48.92,82.85,27,0,8.28,BR,1596989797
3,bure,10.7,37.07,58.69,94,94,1.66,ET,1596989799
4,katsuura,35.13,140.3,82.0,84,100,1.99,JP,1596989801
5,taltal,-25.4,-70.48,63.72,58,22,4.0,CL,1596989802
6,eagle pass,28.71,-100.5,84.2,70,5,9.17,US,1596989711
7,naze,28.37,129.48,82.4,88,75,14.99,JP,1596989805
8,kavieng,-2.57,150.8,81.05,76,100,3.51,PG,1596989806
9,visegrad,43.78,19.3,62.6,88,20,9.17,BA,1596989807
10,pitimbu,-7.47,-34.81,80.6,74,75,18.34,BR,1596989715
11,honiara,-9.43,159.95,75.2,88,20,5.88,SB,1596989809
12,albany,42.6,-73.97,84.99,69,29,3.49,US,1596989811
13,ponta do sol,32.67,-17.1,78.8,61,40,14.99,PT,1596989814
14,georgetown,5.41,100.34,84.2,79,20,3.47,MY,1596989729
15,barrow,71.29,-156.79,41.0,93,90,5.82,US,1596989816
16,new norfolk,-42.78,147.06,35.01,91,3,2.59,AU,1596989817
17,kysyl-syr,63.9,122.76,56.35,94,87,4.52,RU,1596989818
18,raudeberg,61.99,5.14,64.4,67,0,17.22,NO,1596989819
19,saint george,37.1,-113.58,82.99,12,1,2.19,US,1596989750
20,lumut,4.23,100.63,84.2,89,20,5.06,MY,1596989821
21,thompson,55.74,-97.86,66.2,63,75,8.05,CA,1596989822
22,rikitea,-23.12,-134.97,70.68,80,51,24.52,PF,1596989823
23,acarau,-2.89,-40.12,89.08,43,16,14.18,BR,1596989824
24,tilichiki,60.47,166.1,50.4,94,100,3.94,RU,1596989825
25,kapaa,22.08,-159.32,78.8,83,90,17.22,US,1596989542
26,kindu,-2.95,25.95,83.55,53,96,1.1,CD,1596989763
27,vitim,59.45,112.56,60.28,63,16,1.95,RU,1596989829
28,bluff,-46.6,168.33,48.99,89,99,17.0,NZ,1596989830
29,provideniya,64.38,-173.3,45.41,83,1,2.55,RU,1596989831
30,upernavik,72.79,-56.15,39.31,66,0,4.27,GL,1596989832
31,puerto ayora,-0.74,-90.35,73.4,73,75,6.93,EC,1596989833
32,castro,-24.79,-50.01,72.41,42,0,6.06,BR,1596989834
33,haimen,23.19,116.61,84.2,74,100,4.47,CN,1596989835
34,mataura,-46.19,168.86,48.99,89,100,17.0,NZ,1596989836
35,cape town,-33.93,18.42,64.0,82,75,17.22,ZA,1596989700
36,hasaki,35.73,140.83,77.0,94,75,2.24,JP,1596989838
37,obo,5.4,26.49,74.1,93,67,4.18,CF,1596989840
38,chokurdakh,70.63,147.92,38.08,83,100,12.06,RU,1596989841
39,hilo,19.73,-155.09,71.6,83,20,5.82,US,1596989700
40,visby,57.64,18.3,77.0,65,52,10.29,SE,1596989843
41,tay ninh,11.3,106.1,79.5,88,100,1.99,VN,1596989844
42,vostok,46.49,135.88,60.31,97,93,4.56,RU,1596989845
43,garowe,8.41,48.48,83.79,34,0,18.66,SO,1596989846
44,avarua,-21.21,-159.78,71.6,100,94,1.12,CK,1596989847
45,punta arenas,-53.15,-70.92,39.2,55,100,18.34,CL,1596989672
46,busselton,-33.65,115.33,55.99,75,85,18.48,AU,1596989849
47,sorong,-0.88,131.25,79.48,84,100,3.85,ID,1596989850
48,avera,33.19,-82.53,87.01,79,1,3.36,US,1596989851
49,carnarvon,-24.87,113.63,64.4,82,90,14.99,AU,1596989852
50,hofn,64.25,-15.21,53.6,93,90,8.05,IS,1596989854
51,talnakh,69.49,88.4,59.0,87,83,8.95,RU,1596989855
52,victoria,22.29,114.16,84.0,74,100,3.0,HK,1596989857
53,broken hill,-31.95,141.43,42.8,93,14,4.7,AU,1596989858
54,camacha,33.08,-16.33,78.8,65,40,10.29,PT,1596989859
55,fort frances,48.6,-93.4,64.4,93,90,8.05,CA,1596989860
56,college,64.86,-147.8,52.0,87,40,0.2,US,1596989646
57,nikolskoye,59.7,30.79,75.2,53,20,13.42,RU,1596989863
58,constitucion,-35.33,-72.42,55.87,74,78,5.23,CL,1596989865
59,port alfred,-33.59,26.89,65.46,46,45,16.64,ZA,1596989866
60,lensk,60.73,114.93,60.53,61,1,2.44,RU,1596989868
61,hithadhoo,-0.6,73.08,82.36,82,100,12.73,MV,1596989869
62,kruisfontein,-34.0,24.73,63.0,60,50,4.0,ZA,1596989871
63,sortland,68.69,15.42,55.4,76,75,20.8,NO,1596989872
64,mecca,21.43,39.83,91.98,38,99,10.2,SA,1596989873
65,vaini,-21.2,-175.2,69.8,83,75,6.93,TO,1596989874
66,tawang,27.58,91.87,59.09,80,100,0.94,IN,1596989875
67,sabang,5.89,95.32,84.51,75,21,15.48,ID,1596989877
68,la libertad,-2.23,-80.9,71.6,73,40,3.36,EC,1596989878
69,chuy,-33.7,-53.46,69.84,67,21,5.93,UY,1596989879
70,butaritari,3.07,172.79,83.12,74,76,19.84,KI,1596989880
71,bonavista,48.65,-53.11,63.82,77,100,12.15,CA,1596989882
72,calatrava,10.6,123.48,82.4,83,90,3.36,PH,1596989884
73,floro,61.6,5.03,62.6,67,0,17.22,NO,1596989885
