,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,rehoboth,-23.32,17.08,51.87,43,8,11.9,NA,1596936690
88,kalmunai,7.42,81.82,81.61,71,99,1.61,LK,1596937181
89,hermanus,-34.42,19.23,53.01,93,9,8.99,ZA,1596936605
90,codrington,-38.27,141.97,54.0,76,100,15.55,AU,1596936603
91,torbay,47.67,-52.73,66.99,72,75,11.41,CA,1596936914
92,laguna,38.42,-121.42,93.0,29,1,10.29,US,1596936553
93,mar del plata,-38.0,-57.56,57.0,100,90,9.17,AR,1596936499
94,iqaluit,63.75,-68.51,51.8,57,20,16.11,CA,1596936595
95,yabelo,4.88,38.08,55.53,80,97,10.67,ET,1596937189
96,catamarca,-28.47,-65.79,61.0,47,0,5.79,AR,1596937190
97,padang,-0.95,100.35,81.54,69,77,2.71,ID,1596936318
98,sokoni,-6.43,39.55,68.0,94,20,8.05,TZ,1596937192
99,mataram,-8.58,116.12,80.6,74,20,4.47,ID,1596937193
100,namibe,-15.2,12.15,59.2,87,11,7.65,AO,1596936670
101,luocheng,29.38,104.03,86.7,68,100,1.7,CN,1596937195
102,fortuna,40.6,-124.16,69.01,69,1,1.99,US,1596936602
103,ishigaki,24.34,124.16,84.2,94,75,8.05,JP,1596937197
104,prince rupert,54.32,-130.32,59.0,77,90,4.7,CA,1596936937
105,sarangani,5.4,125.46,83.95,71,86,8.68,PH,1596937199
106,ponta do sol,32.67,-17.1,73.4,69,20,9.17,PT,1596937200
107,avarua,-21.21,-159.78,75.2,88,64,4.7,CK,1596937202
108,hilo,19.73,-155.09,82.4,65,90,6.93,US,1596937140
109,virginia beach,36.85,-75.98,75.99,88,75,5.14,US,1596936701
110,manokwari,-0.87,134.08,83.91,65,63,5.61,ID,1596937206
111,bridlington,54.08,-0.19,59.0,93,91,10.29,GB,1596937207
112,champerico,14.3,-91.92,82.4,88,75,6.93,GT,1596937191
113,fairbanks,64.84,-147.72,64.99,59,75,4.7,US,1596937211
114,namuac,18.61,121.17,86.56,65,46,2.82,PH,1596937212
115,hofn,64.25,-15.21,51.71,88,81,14.67,IS,1596937213
116,havelock,34.88,-76.9,82.0,83,1,4.7,US,1596937214
117,talnakh,69.49,88.4,59.0,82,100,6.71,RU,1596937054
118,hibbing,47.43,-92.94,75.2,88,1,4.45,US,1596937189
119,doha,25.29,51.53,98.6,32,100,4.7,QA,1596937219
120,svetlogorsk,52.63,29.73,59.43,93,0,2.98,BY,1596937220
121,omsukchan,62.53,155.8,60.39,58,98,6.8,RU,1596937221
122,saint-georges,12.06,-61.75,80.6,88,20,6.93,GD,1596936653
123,mirandopolis,-21.13,-51.1,67.21,46,10,6.26,BR,1596937223
124,jining,35.41,116.58,83.48,79,37,0.31,CN,1596936645
125,taoudenni,22.68,-3.98,100.65,12,0,11.3,ML,1596936463
126,challans,46.84,-1.87,68.0,82,0,4.7,FR,1596937226
